,Month,Attrition Count,YTD Expenses,Demand Count,Avl.Bench(Skill),Allocated Bench,Prop. New Hire,Prop. EOY Expense,Unmet Demand,Adj. New Hire,Adj. EOY Expenses,YTD Opportunity Cost,Total Bench HeadCount,Total Billable HeadCount,Total HeadCount
0,January,182,542520,1,1,1,0,3435960,0,0,3435960,0,384,9434,9818
1,January,182,542520,4,2,2,2,3420890,0,2,3420890,0,382,9438,9820
2,January,182,542520,1,0,0,1,3420890,0,1,3420890,0,382,9439,9821
3,January,182,542520,1,0,0,1,3420890,0,1,3420890,0,382,9440,9822
4,January,182,542520,1,1,1,0,3413355,0,0,3413355,0,381,9441,9822
5,January,182,542520,1,4,1,0,3405820,0,0,3405820,0,380,9442,9822
6,January,182,542520,1,3,1,0,3398285,0,0,3398285,0,379,9443,9822
7,January,182,542520,1,2,1,0,3390750,0,0,3390750,0,378,9444,9822
8,January,182,542520,1,0,0,1,3390750,0,1,3390750,0,378,9445,9823
9,January,182,542520,1,3,1,0,3383215,0,0,3383215,0,377,9446,9823
10,January,182,542520,1,0,0,1,3383215,0,1,3383215,0,377,9447,9824
11,January,182,542520,1,0,0,1,3383215,0,1,3383215,0,377,9448,9825
12,January,182,542520,1,0,0,1,3383215,0,1,3383215,0,377,9449,9826
13,January,182,542520,1,0,0,1,3383215,0,1,3383215,0,377,9450,9827
14,January,182,542520,2,1,1,1,3375680,0,1,3375680,0,376,9452,9828
15,January,182,542520,2,1,1,1,3368145,0,1,3368145,0,375,9454,9829
16,January,182,542520,1,0,0,1,3368145,0,1,3368145,0,375,9455,9830
17,January,182,542520,2,0,0,2,3368145,0,2,3368145,0,375,9457,9832
18,January,182,542520,1,5,1,0,3360610,0,0,3360610,0,374,9458,9832
19,January,182,542520,4,4,4,0,3330470,0,0,3330470,0,370,9462,9832
20,January,182,542520,3,0,0,3,3330470,0,3,3330470,0,370,9465,9835
21,January,182,542520,1,0,0,1,3330470,0,1,3330470,0,370,9466,9836
22,January,182,542520,1,0,0,1,3330470,0,1,3330470,0,370,9467,9837
